"species","volume"
"Juniperus_pingii",116.259548640952
"Euphorbia_atoto",1106.55416205297
"Salvia_roborowskii",379.411357209873
"Ajuga_lupulina",51.1261234698925
"Androsace_mariae",312.759574667683
"Allium_cyathophorum",447.947374747577
"Primula_florindae",196.891725672844
"Tofieldia_thibetica",141.052289398291
"Styrax_odoratissimus",436.003224096262
"Ilex_umbellulata",64.5188995560272
"Senna_sophera",238.463709227779
"Cupressus_funebris",200.82669573978
"Flacourtia_jangomas",283.556414393978
"Allium_sikkimense",743.631048036366
"Ilex_pernyi",268.663997490402
"Croton_tiglium",282.869135806632
"Isodon_lophanthoides",485.899977474424
"Luzula_rufescens",112.302025548958
"Iphigenia_indica",170.325863992296
"Euphorbia_bifida",33.3099107132963
"Eriosema_chinense",127.603210540669
"Juncus_allioides",325.261892359373
"Isodon_pharicus",379.456276045133
"Primula_chionantha",203.699358943923
"Polygonatum_filipes",362.832182204916
"Allium_cyaneum",924.139974671809
"Primula_russeola",96.6765733567037
"Polygonatum_cirrhifolium",425.785164043776
"Androsace_tapete",407.451801079409
"Alniphyllum_fortunei",325.92772265852
"Allium_forrestii",78.8982995277684
"Nepeta_discolor",676.003896650124
"Smilax_mairei",647.545085946496
"Ceratostigma_minus",1047.31503092937
"Lloydia_oxycarpa",323.110828171465
"Primula_anisodora",91.9150186758156
"Baliospermum_calycinum",109.376018770548
"Polygonatum_roseum",429.329544351
"Baccaurea_ramiflora",4.13863283768603
"Micromeria_biflora",115.503187406683
"Dracaena_angustifolia",493.719145243401
"Biophytum_fruticosum",2928.38694754902
"Bridelia_stipularis",548.43422718888
"Pogostemon_auricularius",1388.39902366281
"Polygonatum_kingianum",76.4004108515093
"Clinopodium_polycephalum",597.342783882094
"Juncus_leucomelas",25.7843950345901
"Isodon_coetsa",1231.93162565746
"Smilax_megacarpa",514.72988655149
"Mallotus_barbatus",1157.92453771375
"Ilex_triflora",1005.69294443343
"Elsholtzia_blanda",772.319123910935
"Alangium_kurzii",80.0468191235617
"Iodes_vitiginea",9302.45475495049
"Balakata_baccata",3749.04673350402
"Paraphlomis_javanica",2115.64642956897
"Colquhounia_elegans",664.080273802772
"Baliospermum_solanifolium",549.365660986919
"Bridelia_affinis",647.262734800121
